server_s,total_s,download_s,version,percent_download
0.662847,0.6707261009723879,0.007879100972387976,minified,1.1747121456828975
0.662613,0.6668969219899736,0.004283921989973627,minified,0.6423664360589196
0.767014,0.7715479569742456,0.004533956974245634,minified,0.587644220072373
0.559912,0.564989160047844,0.005077160047844087,minified,0.8986296387375196
0.554306,0.5614754559937865,0.007169455993786489,minified,1.2768957070611167
0.52433,0.5301358110154979,0.00580581101549793,minified,1.0951554101536076
0.793189,0.8030163259827532,0.009827325982753154,minified,1.2238015174506205
0.792304,0.7972072220291011,0.004903222029101095,minified,0.6150498758178722
0.5289,0.5321972279925831,0.0032972279925830295,minified,0.6195500125056985
0.768489,0.7710204049944878,0.0025314049944877848,minified,0.32831880688110743
0.563528,0.5662708829622716,0.0027428829622715423,minified,0.48437647860737526
0.767793,0.7703043390065432,0.0025113390065432117,minified,0.3260190653712363
0.666074,0.6684393549803644,0.002365354980364387,minified,0.3538623156671961
0.668155,0.6708766050287522,0.002721605028752183,minified,0.40567892938158745
0.767609,0.7700922369840555,0.0024832369840555035,minified,0.3224596827232941
0.563066,0.5663894930039532,0.003323493003953293,minified,0.5867857799279649
0.766323,0.7692724789958447,0.0029494789958447454,minified,0.38341147985623925
0.665817,0.6682284760172479,0.0024114760172478933,minified,0.36087597338274013
0.7682,0.7710646949708462,0.002864694970846182,minified,0.37152459314124037
0.605051,0.6114222219912335,0.006371221991233522,minified,1.0420331093763995
0.6212,0.624557624978479,0.0033576249784790235,minified,0.5376005102162864
0.768592,0.7712216769577935,0.002629676957793481,minified,0.34097549853197323
0.975216,0.9797599599696696,0.004543959969669609,minified,0.4637829831105035
0.568957,0.57329175301129,0.004334753011289938,minified,0.7561164081850262
0.759781,0.7646791969891638,0.004898196989163717,minified,0.6405558054213849
0.765268,0.7683311279979534,0.0030631279979534964,minified,0.39867290108824743
0.580547,0.5904683650005609,0.009921365000560844,minified,1.6802534375489226
0.74267,0.7473845779895782,0.004714577989578195,minified,0.630810178376993
0.760125,0.766473894007504,0.006348894007503936,minified,0.8283248858364612
0.764815,0.7711369919707067,0.0063219919707067085,minified,0.819827350591795
0.76733,0.7729479020345025,0.00561790203450252,minified,0.7268150957801229
0.756183,0.7631099830032326,0.0069269830032325785,minified,0.907730623044835
0.558133,0.5652746019768529,0.007141601976852874,minified,1.2633863173540054
0.760231,0.7683644950157031,0.008133495015703152,minified,1.0585464409748562
0.7623,0.7671570829697885,0.004857082969788484,minified,0.633127566389133
0.564459,0.5688709709793329,0.00441197097933288,minified,0.7755662011962933
0.76202,0.7670401860377751,0.005020186037775098,minified,0.654488008471549
0.864811,0.8721536910161376,0.0073426910161376036,minified,0.841903335590165
0.660227,0.6642458940041251,0.00401889400412514,minified,0.6050310646105674
0.665412,0.6681826410349458,0.002770641034945842,minified,0.4146532496944856
0.665615,0.6682858790154569,0.0026708790154569284,minified,0.39966114791947494
0.564721,0.5671689239679836,0.002447923967983545,minified,0.4316040362115695
0.559123,0.5648611219949089,0.005738121994908862,minified,1.0158465101375096
0.587102,0.623282423010096,0.03618042301009594,original,5.804820042151243
0.59128,0.6462450259714387,0.05496502597143871,original,8.505291919085181
0.553109,0.5901791910291649,0.03707019102916498,original,6.281175546789666
0.56189,0.6083444980322383,0.046454498032238334,original,7.636215693986033
0.591746,0.6289707730174996,0.0372247730174996,original,5.918362921525435
0.550369,0.5981850940152071,0.047816094015207145,original,7.993528172735036
0.702318,0.739798187976703,0.03748018797670305,original,5.066271935486727
0.528277,0.5665212610037997,0.03824426100379974,original,6.75071945861944
0.72662,0.767874205019325,0.041254205019324974,original,5.372521273622772
0.728189,0.7710858579957858,0.0428968579957858,original,5.563175300255636
0.63563,0.6780997140449472,0.04246971404494715,original,6.263048511200535
0.640103,0.6796423509949818,0.03953935099498185,original,5.8176702698260465
0.707652,0.7542635569698177,0.04661155696981778,original,6.179744008457108
0.625784,0.6665364879881963,0.040752487988196306,original,6.114067079988274
0.584764,0.6208463790244423,0.036082379024442335,original,5.811804698150909
0.779052,0.825035230955109,0.04598323095510903,original,5.573486953020923
0.82727,0.8678648869972676,0.040594886997267654,original,4.677558408627663
0.628783,0.6668699780129828,0.038086978012982775,original,5.7113049423018545
0.698424,0.7426015379605815,0.04417753796058144,original,5.9490232247440415
0.760932,0.797896447009407,0.03696444700940693,original,4.632737386906942
0.525943,0.5662706939619966,0.040327693961996536,original,7.121628294029815
0.633762,0.6723239830462262,0.038561983046226156,original,5.735625088295384
0.83539,0.8892983219702728,0.05390832197027284,original,6.061894039205764
0.720372,0.7611065760138445,0.04073457601384445,original,5.3520199795387775
0.728095,0.7655125469900668,0.03741754699006672,original,4.887907734130483
0.727553,0.769353146024514,0.041800146024513984,original,5.433154623531246
0.729127,0.7715436810394749,0.042416681039474935,original,5.497638316774024
0.724488,0.7653709729784168,0.04088297297841681,original,5.341589166796073
0.627733,0.6657812790363096,0.038048279036309585,original,5.7148316172817095
0.728651,0.7702766860020347,0.041625686002034645,original,5.403991417432656
0.661803,0.7100879639619961,0.04828496396199611,original,6.799856695582622
0.588398,0.6229428229853511,0.03454482298535111,original,5.5454243488673205
0.532439,0.5793807780137286,0.04694177801372856,original,8.102059956952225
0.623275,0.6747626269934699,0.05148762699346987,original,7.630479954540837
0.718628,0.7555037040146999,0.03687570401469986,original,4.880942848955558
0.592587,0.6550074270344339,0.062420427034433956,original,9.52972813102965
0.848562,0.8924060699646361,0.04384406996463608,original,4.913017900738115
0.727618,0.7675321130082011,0.039914113008201135,original,5.200318310039838
0.553458,0.6099123239982873,0.056454323998287315,original,9.25613760814019
0.679624,0.7232022499665618,0.04357824996656179,original,6.0257348436867675
0.5465,0.5906335700419731,0.04413357004197316,original,7.472242060138373
0.709929,0.7461237870156765,0.036194787015676466,original,4.851043170791711
0.829916,0.889286944991909,0.05937094499190898,original,6.67624160303502
0.609714,0.6502129749860615,0.040498974986061476,original,6.2285707212978405
0.731668,0.7697877479949966,0.03811974799499662,original,4.951981646146489
0.631802,0.6716075169970281,0.03980551699702817,original,5.926901648601456
0.737043,0.7839698979514651,0.046926897951465096,original,5.9858035460400165
0.823448,0.8827573520247824,0.05930935202478249,original,6.718647189824531
0.70612,0.7596499340143055,0.0535299340143055,original,7.046658153635467
0.720268,0.7656973439734429,0.04542934397344289,original,5.933067984498395
0.571831,0.6248813780257478,0.05305037802574786,original,8.489671782723848
0.662149,0.7027179750148207,0.04056897501482071,original,5.773151741844242
0.643908,0.691229609947186,0.04732160994718593,original,6.846004463090286
0.697436,0.742561970022507,0.04512597002250707,original,6.077064520438516
0.605518,0.6654980929451995,0.05998009294519946,original,9.012812144923537
0.729869,0.768044848984573,0.038175848984573046,original,4.970523405637715
0.841004,0.8787887539947405,0.03778475399474057,original,4.299640137971851
0.622796,0.6635687950183637,0.04077279501836373,original,6.144471428502809
0.638724,0.7030492959893309,0.0643252959893309,original,9.149471645343496
0.587135,0.6285252249799669,0.041390224979966916,original,6.585292576170854
0.731925,0.7685115039930679,0.03658650399306784,original,4.760696984101081
0.725506,0.7797101599862799,0.05420415998627992,original,6.951834510817932
0.721857,0.7587862240034156,0.036929224003415584,original,4.866881189351871
0.730679,0.7747769190464169,0.04409791904641691,original,5.691692403626573
0.730601,0.7750869930023327,0.0444859930023328,original,5.7394838778050445
0.726889,0.7663599870284088,0.03947098702840879,original,5.1504498794958105
0.72728,0.769062100967858,0.04178210096785795,original,5.4328643831591155
0.523163,0.5665552989812568,0.04339229898125674,original,7.65896975269351
0.523897,0.5720343699795194,0.04813736997951945,original,8.415118479898842
0.719389,0.7589156650356017,0.03952666503560176,original,5.208307965780033
0.72672,0.7689377359929495,0.04221773599294942,original,5.490397208615669
0.726826,0.7728367670206353,0.046010767020635335,original,5.953490954889678
0.72758,0.7688969370210543,0.04131693702105432,original,5.373533829010813
0.730802,0.7697669280460104,0.03896492804601048,original,5.061912460297525
0.549417,0.6058553289622068,0.056438328962206796,original,9.315479498856964
0.790476,0.8309447229839861,0.04046872298398618,original,4.870206388538085
0.58674,0.6509089430328459,0.06416894303284582,original,9.858359409513866
0.75065,0.7901875649695285,0.03953756496952843,original,5.003567092460268
